X,Y,Z,D
6.15e-10,3.7654200703190327e-10,-9.291163096945323e-10,33.0
4.920000000000001e-10,4.3851219633130467e-10,-9.015254037844387e-10,31.0
4.920000000000001e-10,5.614878036686949e-10,-8.305254037844387e-10,70.0
6.15e-10,6.163673237499629e-10,-7.906530985288735e-10,18.0
6.15e-10,7.21893888967753e-10,-6.956365524259156e-10,21.0
4.920000000000001e-10,7.672842414621818e-10,-6.452254588930945e-10,2.0
4.920000000000001e-10,8.50749747287713e-10,-5.303450456918521e-10,31.0
6.15e-10,8.846671559842192e-10,-4.715983705684247e-10,94.0
6.15e-10,9.424237593009829e-10,-3.418749155831754e-10,2.0
4.920000000000001e-10,9.633858706857449e-10,-2.773601704698595e-10,67.0
4.920000000000001e-10,9.929093307818668e-10,-1.3846321116565913e-10,1.0
6.15e-10,1.0e-9,-7.100000000000057e-11,38.0
6.15e-10,1.0e-9,7.099999999999943e-11,88.0
4.920000000000001e-10,9.929093307818668e-10,1.3846321116565887e-10,8.0
4.920000000000001e-10,9.633858706857449e-10,2.7736017046985926e-10,78.0
6.15e-10,9.424237593009827e-10,3.4187491558317557e-10,24.0
6.15e-10,8.846671559842191e-10,4.71598370568425e-10,33.0
4.920000000000001e-10,8.507497472877131e-10,5.303450456918518e-10,97.0
4.920000000000001e-10,7.672842414621819e-10,6.452254588930944e-10,38.0
6.15e-10,7.218938889677535e-10,6.956365524259151e-10,73.0
6.15e-10,6.163673237499636e-10,7.906530985288729e-10,53.0
4.920000000000001e-10,5.614878036686955e-10,8.305254037844385e-10,37.0
4.920000000000001e-10,4.385121963313053e-10,9.015254037844385e-10,57.0
6.15e-10,3.765420070319035e-10,9.291163096945323e-10,19.0
6.15e-10,2.4149198171799167e-10,9.72996722895775e-10,19.0
4.920000000000001e-10,1.7513951783880165e-10,9.8710037447627e-10,7.0
4.920000000000001e-10,3.3917408696506833e-11,1.0019434162602766e-9,16.0
6.15e-10,-3.391740869650558e-11,1.0019434162602768e-9,45.0
6.15e-10,-1.751395178388004e-10,9.871003744762701e-10,61.0
4.920000000000001e-10,-2.4149198171799136e-10,9.729967228957748e-10,22.0
4.920000000000001e-10,-3.7654200703190317e-10,9.291163096945323e-10,51.0
6.15e-10,-4.38512196331305e-10,9.015254037844386e-10,9.0
6.15e-10,-5.614878036686952e-10,8.305254037844386e-10,22.0
4.920000000000001e-10,-6.163673237499636e-10,7.906530985288729e-10,6.0
4.920000000000001e-10,-7.218938889677535e-10,6.956365524259151e-10,53.0
6.15e-10,-7.672842414621818e-10,6.452254588930947e-10,98.0
6.15e-10,-8.50749747287713e-10,5.303450456918521e-10,35.0
4.920000000000001e-10,-8.846671559842192e-10,4.715983705684249e-10,37.0
4.920000000000001e-10,-9.424237593009829e-10,3.418749155831755e-10,71.0
6.15e-10,-9.633858706857449e-10,2.773601704698592e-10,80.0
6.15e-10,-9.929093307818668e-10,1.3846321116565877e-10,56.0
7.380000000000001e-10,-1.0e-9,7.1e-11,93.0
7.380000000000001e-10,-1.0e-9,-7.1e-11,10.0
8.610000000000001e-10,-9.929093307818668e-10,-1.3846321116565913e-10,20.0
8.610000000000001e-10,-9.633858706857449e-10,-2.773601704698595e-10,83.0
7.380000000000001e-10,-9.424237593009827e-10,-3.418749155831755e-10,71.0
7.380000000000001e-10,-8.846671559842191e-10,-4.715983705684249e-10,69.0
8.610000000000001e-10,-8.507497472877131e-10,-5.303450456918519e-10,79.0
8.610000000000001e-10,-7.672842414621819e-10,-6.452254588930945e-10,83.0
7.380000000000001e-10,-7.218938889677532e-10,-6.956365524259153e-10,21.0
7.380000000000001e-10,-6.163673237499633e-10,-7.906530985288731e-10,38.0
8.610000000000001e-10,-5.614878036686952e-10,-8.305254037844386e-10,6.0
8.610000000000001e-10,-4.38512196331305e-10,-9.015254037844386e-10,3.0
7.380000000000001e-10,-3.765420070319034e-10,-9.291163096945323e-10,37.0
7.380000000000001e-10,-2.4149198171799157e-10,-9.729967228957748e-10,53.0
8.610000000000001e-10,-1.7513951783880087e-10,-9.8710037447627e-10,14.0
8.610000000000001e-10,-3.391740869650606e-11,-1.0019434162602766e-9,80.0
7.380000000000001e-10,3.391740869650593e-11,-1.0019434162602768e-9,97.0
7.380000000000001e-10,1.7513951783880074e-10,-9.871003744762701e-10,37.0
8.610000000000001e-10,2.4149198171799146e-10,-9.729967228957748e-10,37.0
8.610000000000001e-10,3.7654200703190327e-10,-9.291163096945323e-10,50.0
7.380000000000001e-10,4.3851219633130467e-10,-9.015254037844387e-10,41.0
7.380000000000001e-10,5.614878036686949e-10,-8.305254037844387e-10,91.0
8.610000000000001e-10,6.163673237499629e-10,-7.906530985288735e-10,47.0
8.610000000000001e-10,7.21893888967753e-10,-6.956365524259156e-10,29.0
7.380000000000001e-10,7.672842414621818e-10,-6.452254588930945e-10,13.0
7.380000000000001e-10,8.50749747287713e-10,-5.303450456918521e-10,9.0
8.610000000000001e-10,8.846671559842192e-10,-4.715983705684247e-10,36.0
8.610000000000001e-10,9.424237593009829e-10,-3.418749155831754e-10,47.0
7.380000000000001e-10,9.633858706857449e-10,-2.773601704698595e-10,18.0
7.380000000000001e-10,9.929093307818668e-10,-1.3846321116565913e-10,96.0
8.610000000000001e-10,1.0e-9,-7.100000000000057e-11,42.0
8.610000000000001e-10,1.0e-9,7.099999999999943e-11,38.0
7.380000000000001e-10,9.929093307818668e-10,1.3846321116565887e-10,47.0
7.380000000000001e-10,9.633858706857449e-10,2.7736017046985926e-10,86.0
8.610000000000001e-10,9.424237593009827e-10,3.4187491558317557e-10,97.0
8.610000000000001e-10,8.846671559842191e-10,4.71598370568425e-10,96.0
7.380000000000001e-10,8.507497472877131e-10,5.303450456918518e-10,73.0
7.380000000000001e-10,7.672842414621819e-10,6.452254588930944e-10,98.0
8.610000000000001e-10,7.218938889677535e-10,6.956365524259151e-10,64.0
8.610000000000001e-10,6.163673237499636e-10,7.906530985288729e-10,32.0
7.380000000000001e-10,5.614878036686955e-10,8.305254037844385e-10,75.0
7.380000000000001e-10,4.385121963313053e-10,9.015254037844385e-10,75.0
8.610000000000001e-10,3.765420070319035e-10,9.291163096945323e-10,3.0
8.610000000000001e-10,2.4149198171799167e-10,9.72996722895775e-10,36.0
7.380000000000001e-10,1.7513951783880165e-10,9.8710037447627e-10,67.0
7.380000000000001e-10,3.3917408696506833e-11,1.0019434162602766e-9,99.0
8.610000000000001e-10,-3.391740869650558e-11,1.0019434162602768e-9,50.0
8.610000000000001e-10,-1.751395178388004e-10,9.871003744762701e-10,80.0
7.380000000000001e-10,-2.4149198171799136e-10,9.729967228957748e-10,28.0
7.380000000000001e-10,-3.7654200703190317e-10,9.291163096945323e-10,82.0
8.610000000000001e-10,-4.38512196331305e-10,9.015254037844386e-10,98.0
8.610000000000001e-10,-5.614878036686952e-10,8.305254037844386e-10,61.0
7.380000000000001e-10,-6.163673237499636e-10,7.906530985288729e-10,57.0
7.380000000000001e-10,-7.218938889677535e-10,6.956365524259151e-10,65.0
8.610000000000001e-10,-7.672842414621818e-10,6.452254588930947e-10,53.0
8.610000000000001e-10,-8.50749747287713e-10,5.303450456918521e-10,64.0
7.380000000000001e-10,-8.846671559842192e-10,4.715983705684249e-10,45.0
7.380000000000001e-10,-9.424237593009829e-10,3.418749155831755e-10,18.0
8.610000000000001e-10,-9.633858706857449e-10,2.773601704698592e-10,76.0
8.610000000000001e-10,-9.929093307818668e-10,1.3846321116565877e-10,89.0
9.840000000000001e-10,-1.0e-9,7.1e-11,47.0
9.840000000000001e-10,-1.0e-9,-7.1e-11,8.0
1.1070000000000002e-9,-9.929093307818668e-10,-1.3846321116565913e-10,63.0
1.1070000000000002e-9,-9.633858706857449e-10,-2.773601704698595e-10,9.0
9.840000000000001e-10,-9.424237593009827e-10,-3.418749155831755e-10,53.0
9.840000000000001e-10,-8.846671559842191e-10,-4.715983705684249e-10,77.0
1.1070000000000002e-9,-8.507497472877131e-10,-5.303450456918519e-10,66.0
1.1070000000000002e-9,-7.672842414621819e-10,-6.452254588930945e-10,14.0
9.840000000000001e-10,-7.218938889677532e-10,-6.956365524259153e-10,3.0
9.840000000000001e-10,-6.163673237499633e-10,-7.906530985288731e-10,6.0
1.1070000000000002e-9,-5.614878036686952e-10,-8.305254037844386e-10,55.0
1.1070000000000002e-9,-4.38512196331305e-10,-9.015254037844386e-10,99.0
9.840000000000001e-10,-3.765420070319034e-10,-9.291163096945323e-10,37.0
9.840000000000001e-10,-2.4149198171799157e-10,-9.729967228957748e-10,83.0
1.1070000000000002e-9,-1.7513951783880087e-10,-9.8710037447627e-10,16.0
1.1070000000000002e-9,-3.391740869650606e-11,-1.0019434162602766e-9,44.0
9.840000000000001e-10,3.391740869650593e-11,-1.0019434162602768e-9,60.0
9.840000000000001e-10,1.7513951783880074e-10,-9.871003744762701e-10,54.0
1.1070000000000002e-9,2.4149198171799146e-10,-9.729967228957748e-10,73.0
1.1070000000000002e-9,3.7654200703190327e-10,-9.291163096945323e-10,79.0
9.840000000000001e-10,4.3851219633130467e-10,-9.015254037844387e-10,14.0
9.840000000000001e-10,5.614878036686949e-10,-8.305254037844387e-10,18.0
1.1070000000000002e-9,6.163673237499629e-10,-7.906530985288735e-10,82.0
1.1070000000000002e-9,7.21893888967753e-10,-6.956365524259156e-10,31.0
9.840000000000001e-10,7.672842414621818e-10,-6.452254588930945e-10,4.0
9.840000000000001e-10,8.50749747287713e-10,-5.303450456918521e-10,100.0
1.1070000000000002e-9,8.846671559842192e-10,-4.715983705684247e-10,63.0
1.1070000000000002e-9,9.424237593009829e-10,-3.418749155831754e-10,19.0
9.840000000000001e-10,9.633858706857449e-10,-2.773601704698595e-10,4.0
9.840000000000001e-10,9.929093307818668e-10,-1.3846321116565913e-10,1.0
1.1070000000000002e-9,1.0e-9,-7.100000000000057e-11,50.0
1.1070000000000002e-9,1.0e-9,7.099999999999943e-11,40.0
9.840000000000001e-10,9.929093307818668e-10,1.3846321116565887e-10,39.0
9.840000000000001e-10,9.633858706857449e-10,2.7736017046985926e-10,50.0
1.1070000000000002e-9,9.424237593009827e-10,3.4187491558317557e-10,35.0
1.1070000000000002e-9,8.846671559842191e-10,4.71598370568425e-10,75.0
9.840000000000001e-10,8.507497472877131e-10,5.303450456918518e-10,28.0
9.840000000000001e-10,7.672842414621819e-10,6.452254588930944e-10,70.0
1.1070000000000002e-9,7.218938889677535e-10,6.956365524259151e-10,23.0
1.1070000000000002e-9,6.163673237499636e-10,7.906530985288729e-10,75.0
9.840000000000001e-10,5.614878036686955e-10,8.305254037844385e-10,43.0
9.840000000000001e-10,4.385121963313053e-10,9.015254037844385e-10,35.0
1.1070000000000002e-9,3.765420070319035e-10,9.291163096945323e-10,5.0
1.1070000000000002e-9,2.4149198171799167e-10,9.72996722895775e-10,2.0
9.840000000000001e-10,1.7513951783880165e-10,9.8710037447627e-10,53.0
9.840000000000001e-10,3.3917408696506833e-11,1.0019434162602766e-9,35.0
1.1070000000000002e-9,-3.391740869650558e-11,1.0019434162602768e-9,25.0
1.1070000000000002e-9,-1.751395178388004e-10,9.871003744762701e-10,97.0
9.840000000000001e-10,-2.4149198171799136e-10,9.729967228957748e-10,90.0
9.840000000000001e-10,-3.7654200703190317e-10,9.291163096945323e-10,2.0
1.1070000000000002e-9,-4.38512196331305e-10,9.015254037844386e-10,49.0
1.1070000000000002e-9,-5.614878036686952e-10,8.305254037844386e-10,73.0
9.840000000000001e-10,-6.163673237499636e-10,7.906530985288729e-10,43.0
9.840000000000001e-10,-7.218938889677535e-10,6.956365524259151e-10,72.0
1.1070000000000002e-9,-7.672842414621818e-10,6.452254588930947e-10,35.0
1.1070000000000002e-9,-8.50749747287713e-10,5.303450456918521e-10,62.0
9.840000000000001e-10,-8.846671559842192e-10,4.715983705684249e-10,39.0
9.840000000000001e-10,-9.424237593009829e-10,3.418749155831755e-10,7.0
1.1070000000000002e-9,-9.633858706857449e-10,2.773601704698592e-10,66.0
1.1070000000000002e-9,-9.929093307818668e-10,1.3846321116565877e-10,85.0
1.23e-9,-1.0e-9,7.1e-11,87.0
1.23e-9,-1.0e-9,-7.1e-11,23.0
1.3530000000000002e-9,-9.929093307818668e-10,-1.3846321116565913e-10,50.0
1.3530000000000002e-9,-9.633858706857449e-10,-2.773601704698595e-10,90.0
1.23e-9,-9.424237593009827e-10,-3.418749155831755e-10,54.0
1.23e-9,-8.846671559842191e-10,-4.715983705684249e-10,92.0
1.3530000000000002e-9,-8.507497472877131e-10,-5.303450456918519e-10,23.0
1.3530000000000002e-9,-7.672842414621819e-10,-6.452254588930945e-10,44.0
1.23e-9,-7.218938889677532e-10,-6.956365524259153e-10,55.0
1.23e-9,-6.163673237499633e-10,-7.906530985288731e-10,25.0
1.3530000000000002e-9,-5.614878036686952e-10,-8.305254037844386e-10,54.0
1.3530000000000002e-9,-4.38512196331305e-10,-9.015254037844386e-10,33.0
1.23e-9,-3.765420070319034e-10,-9.291163096945323e-10,48.0
1.23e-9,-2.4149198171799157e-10,-9.729967228957748e-10,70.0
1.3530000000000002e-9,-1.7513951783880087e-10,-9.8710037447627e-10,67.0
1.3530000000000002e-9,-3.391740869650606e-11,-1.0019434162602766e-9,94.0
1.23e-9,3.391740869650593e-11,-1.0019434162602768e-9,69.0
1.23e-9,1.7513951783880074e-10,-9.871003744762701e-10,35.0
1.3530000000000002e-9,2.4149198171799146e-10,-9.729967228957748e-10,55.0
1.3530000000000002e-9,3.7654200703190327e-10,-9.291163096945323e-10,11.0
1.23e-9,4.3851219633130467e-10,-9.015254037844387e-10,16.0
1.23e-9,5.614878036686949e-10,-8.305254037844387e-10,60.0
1.3530000000000002e-9,6.163673237499629e-10,-7.906530985288735e-10,12.0
1.3530000000000002e-9,7.21893888967753e-10,-6.956365524259156e-10,87.0
1.23e-9,7.672842414621818e-10,-6.452254588930945e-10,94.0
1.23e-9,8.50749747287713e-10,-5.303450456918521e-10,89.0
1.3530000000000002e-9,8.846671559842192e-10,-4.715983705684247e-10,100.0
1.3530000000000002e-9,9.424237593009829e-10,-3.418749155831754e-10,92.0
1.23e-9,9.633858706857449e-10,-2.773601704698595e-10,81.0
1.23e-9,9.929093307818668e-10,-1.3846321116565913e-10,58.0
1.3530000000000002e-9,1.0e-9,-7.100000000000057e-11,49.0
1.3530000000000002e-9,1.0e-9,7.099999999999943e-11,7.0
1.23e-9,9.929093307818668e-10,1.3846321116565887e-10,32.0
1.23e-9,9.633858706857449e-10,2.7736017046985926e-10,31.0
1.3530000000000002e-9,9.424237593009827e-10,3.4187491558317557e-10,5.0
1.3530000000000002e-9,8.846671559842191e-10,4.71598370568425e-10,22.0
1.23e-9,8.507497472877131e-10,5.303450456918518e-10,33.0
1.23e-9,7.672842414621819e-10,6.452254588930944e-10,47.0
1.3530000000000002e-9,7.218938889677535e-10,6.956365524259151e-10,29.0
1.3530000000000002e-9,6.163673237499636e-10,7.906530985288729e-10,40.0
1.23e-9,5.614878036686955e-10,8.305254037844385e-10,24.0
1.23e-9,4.385121963313053e-10,9.015254037844385e-10,24.0
1.3530000000000002e-9,3.765420070319035e-10,9.291163096945323e-10,70.0
1.3530000000000002e-9,2.4149198171799167e-10,9.72996722895775e-10,81.0
1.23e-9,1.7513951783880165e-10,9.8710037447627e-10,37.0
1.23e-9,3.3917408696506833e-11,1.0019434162602766e-9,58.0
1.3530000000000002e-9,-3.391740869650558e-11,1.0019434162602768e-9,91.0
1.3530000000000002e-9,-1.751395178388004e-10,9.871003744762701e-10,13.0
1.23e-9,-2.4149198171799136e-10,9.729967228957748e-10,13.0
1.23e-9,-3.7654200703190317e-10,9.291163096945323e-10,34.0
1.3530000000000002e-9,-4.38512196331305e-10,9.015254037844386e-10,94.0
1.3530000000000002e-9,-5.614878036686952e-10,8.305254037844386e-10,77.0
1.23e-9,-6.163673237499636e-10,7.906530985288729e-10,73.0
1.23e-9,-7.218938889677535e-10,6.956365524259151e-10,69.0
1.3530000000000002e-9,-7.672842414621818e-10,6.452254588930947e-10,92.0
1.3530000000000002e-9,-8.50749747287713e-10,5.303450456918521e-10,75.0
1.23e-9,-8.846671559842192e-10,4.715983705684249e-10,99.0
1.23e-9,-9.424237593009829e-10,3.418749155831755e-10,52.0
1.3530000000000002e-9,-9.633858706857449e-10,2.773601704698592e-10,75.0
1.3530000000000002e-9,-9.929093307818668e-10,1.3846321116565877e-10,99.0
1.4760000000000003e-9,-1.0e-9,7.1e-11,21.0
1.4760000000000003e-9,-1.0e-9,-7.1e-11,84.0
1.5990000000000002e-9,-9.929093307818668e-10,-1.3846321116565913e-10,77.0
1.5990000000000002e-9,-9.633858706857449e-10,-2.773601704698595e-10,18.0
1.4760000000000003e-9,-9.424237593009827e-10,-3.418749155831755e-10,14.0
1.4760000000000003e-9,-8.846671559842191e-10,-4.715983705684249e-10,84.0
1.5990000000000002e-9,-8.507497472877131e-10,-5.303450456918519e-10,24.0
1.5990000000000002e-9,-7.672842414621819e-10,-6.452254588930945e-10,9.0
1.4760000000000003e-9,-7.218938889677532e-10,-6.956365524259153e-10,99.0
1.4760000000000003e-9,-6.163673237499633e-10,-7.906530985288731e-10,62.0
1.5990000000000002e-9,-5.614878036686952e-10,-8.305254037844386e-10,82.0
1.5990000000000002e-9,-4.38512196331305e-10,-9.015254037844386e-10,96.0
1.4760000000000003e-9,-3.765420070319034e-10,-9.291163096945323e-10,37.0
1.4760000000000003e-9,-2.4149198171799157e-10,-9.729967228957748e-10,15.0
1.5990000000000002e-9,-1.7513951783880087e-10,-9.8710037447627e-10,28.0
